,title,parental_rating,rating_count,rating_value,year,runtime,budget,wwgross,bechdel_test,female_face_ratio
tt2305051,Wild,R,112766,7.1,2014,115,15000000,52501541,3,0.6032500262361624
tt0277296,The Scorpion King,PG-13,125070,5.5,2002,92,60000000,167164779,0,0.2977574627829181
tt3741834,Lion,PG-13,189568,8.0,2016,118,12000000,140312928,2,0.4764075172589792
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,978148,8.0,2003,143,140000000,654264015,3,0.293974734137031
tt1709143,The Last Days on Mars,R,33780,5.5,2013,98,11370134,187191,NotAvailable,0.3372807016194332
tt1308729,Bullet to the Head,R,45516,5.7,2012,92,55000000,21947209,0,0.30081891672552163
tt0374536,Bewitched,PG-13,66270,4.8,2005,102,85000000,131426169,3,0.36063249201372993
tt0116629,Independence Day,PG-13,504576,7.0,1996,145,75000000,817400891,3,0.2213295539080068
tt0107151,The House of the Spirits,R,19826,6.9,1993,140,40000000,6265311,3,0.29157485942046124
tt0440963,The Bourne Ultimatum,PG-13,585589,8.0,2007,115,110000000,442824138,2,0.2782828233333333
tt0120201,Starship Troopers,R,255117,7.2,1997,129,105000000,121214377,3,0.2867652648333727
tt0117765,Striptease,R,40756,4.5,1996,115,40000000,113309743,3,0.29380061031509697
tt2057392,Eye in the Sky,R,74063,7.3,2015,102,13000000,35259653,3,0.4165140341535226
tt1631867,Edge of Tomorrow,PG-13,560734,7.9,2014,113,178000000,370541256,1,0.3517080096262093
tt2011159,No Good Deed,PG-13,16520,5.6,2014,84,13200000,54323210,3,0.5344970291250001
tt0363282,New York Minute,PG,20685,4.9,2004,91,30000000,21289826,1,0.3993174508585467
tt0287717,Spy Kids 2: Island of Lost Dreams,PG,56485,5.1,2002,100,38000000,119723358,3,0.347447705069423
tt0091223,House,R,21566,6.2,1985,93,3000000,19444631,NotAvailable,0.2748430880294985
tt0092991,Evil Dead II,R,139410,7.8,1987,84,3600000,5923044,3,0.29856522314338235
tt2381249,Mission: Impossible - Rogue Nation,PG-13,320425,7.4,2015,131,150000000,682714267,0,0.3664868872166106
tt1798684,Southpaw,R,204734,7.4,2015,124,30000000,91970827,2,0.3810919438888889
tt1038988,[Rec],R,156535,7.4,2007,78,1972789,32492948,3,0.3954369055774396
tt0120777,The Opposite of Sex,R,19509,6.3,1997,105,5000000,5881367,3,0.2912172512541353
tt0330793,The Punisher,R,144406,6.4,2004,124,33000000,54700105,1,0.2484350628554361
tt0283139,White Oleander,PG-13,28597,7.1,2002,109,16000000,21672284,3,0.5162529672435898
tt0120885,Wag the Dog,R,75612,7.2,1997,97,15000000,64256513,NotAvailable,0.2345377457637017
tt1413492,12 Strong,R,54348,6.6,2018,130,35000000,67450815,NotAvailable,0.28936511498403833
tt3836512,Ratter,R,8885,5.7,2015,80,500000,21214,NotAvailable,0.6116936414049587
tt2339741,The Woman in Black 2: Angel of Death,PG-13,25297,4.8,2014,98,15000000,48854305,3,0.4941834531624864
tt0142192,The Corruptor,R,16871,6.1,1999,110,25000000,24493601,NotAvailable,0.2425648862414889
tt1956620,Sex Tape,R,102503,5.1,2014,94,40000000,126069509,NotAvailable,0.4666867214501005
tt1741243,Pawn Shop Chronicles,R,10133,5.9,2013,112,5000000,10080,NotAvailable,0.3300480250746888
tt1187043,3 Idiots,PG-13,311631,8.4,2009,170,11342090,10741063,1,0.290897998282588
tt0104694,A League of Their Own,PG,86259,7.2,1992,128,40000000,132440069,3,0.34629877912267515
tt0795421,Mamma Mia!,PG-13,199651,6.4,2008,108,52000000,609896805,3,0.4290409629091392
tt0490086,Big Stan,R,39816,6.2,2007,105,10000000,8742330,NotAvailable,0.2343399282381729
tt0109035,Above the Rim,R,12900,6.6,1994,96,3500000,16192320,NotAvailable,0.24222759446512784
tt0453467,Deja Vu,PG-13,280638,7.0,2006,126,75000000,180557550,NotAvailable,0.2416740610689094
tt1860357,Deepwater Horizon,PG-13,137884,7.1,2016,107,110000000,121790373,2,0.37592066328473417
tt2179136,American Sniper,R,411140,7.3,2014,133,58800000,547426372,1,0.42611999058439065
tt0346631,Blood and Bone,R,29871,6.7,2009,93,3700000,3492,NotAvailable,0.2970326528934677
tt0416212,The Secret Life of Bees,PG-13,23027,7.3,2008,114,11000000,39947322,3,0.4498851466722241
tt0113321,Home for the Holidays,PG-13,11090,6.6,1995,103,20000000,17519169,3,0.3662838144492753
tt0167456,Thunderbirds,PG,12656,4.2,2004,95,57000000,28283637,NotAvailable,0.29319206493233785
tt3316960,Still Alice,PG-13,119843,7.5,2014,101,5000000,43884652,3,0.6143138590146109
tt0101921,Fried Green Tomatoes,PG-13,62716,7.7,1991,130,11000000,119418501,3,0.3670363137567644
tt1403988,The Romantics,PG-13,11208,5.1,2010,95,4500000,123820,3,0.4485406251730104
tt2726560,The Longest Ride,PG-13,71935,7.1,2015,123,34000000,62944815,3,0.5512386890881148
tt1618432,I'm in Love with a Church Girl,PG,1600,4.4,2013,118,5000000,2503392,NotAvailable,0.3426904966285853
tt0298814,The Core,PG-13,87465,5.5,2003,135,60000000,73498611,3,0.2644376507603531
tt3850214,Dope,R,77730,7.2,2015,103,7000000,17986781,1,0.41847928159106296
tt5143890,Justice,R,774,4.0,2017,92,1500000,3259,NotAvailable,0.4186593288194445
tt0219699,The Gift,R,59992,6.6,2000,111,10000000,44567606,3,0.36630827145100975
tt1433811,Disconnect,R,70813,7.5,2012,115,10000000,3428048,2,0.3681696641455161
tt1240982,Your Highness,R,94027,5.5,2011,102,49900000,24856478,1,0.3009785352487715
tt1641841,Skin Trade,R,7128,5.6,2014,96,9000000,595268,NotAvailable,0.40047989251822397
tt1023111,Never Back Down,PG-13,92141,6.6,2008,110,20000000,41627431,NotAvailable,0.33680377971156794
tt0963178,The International,R,88098,6.5,2009,118,50000000,60161391,NotAvailable,0.2827438603232125
tt1082868,Quarantine,R,66497,6.0,2008,89,12000000,41319906,3,0.3612847220673077
tt0281358,A Walk to Remember,PG,191146,7.4,2002,101,11800000,47494916,3,0.3698122585892981
tt0402022,Æon Flux,PG-13,120420,5.4,2005,93,62000000,52304001,3,0.35918963000000004
tt0427309,The Great Debaters,PG-13,53839,7.6,2007,126,15000000,30271556,NotAvailable,0.2792171618005105
tt1440728,The American,R,88052,6.3,2010,105,20000000,67876281,1,0.3275408832599725
tt0212720,Artificial Intelligence: AI,PG-13,278818,7.2,2001,146,100000000,235926552,1,0.3355505723529412
tt0368008,The Manchurian Candidate,R,98736,6.6,2004,129,80000000,96105910,NotAvailable,0.2802508075406672
tt0464196,Severance,R,35376,6.5,2006,96,8604297,5515163,NotAvailable,0.2378954250174738
tt0758794,We Are Marshall,PG,54645,7.1,2006,131,65000000,43545364,1,0.2198667903246586
tt1232783,Sorority Row,R,27444,5.1,2009,101,12500000,27206120,3,0.4897816187451985
tt0333780,"Legally Blonde 2: Red, White & Blonde",PG-13,58204,4.8,2003,95,45000000,124914842,3,0.424155801804136
tt0099699,Green Card,PG-13,21383,6.2,1990,103,12500000,29888235,NotAvailable,0.3528472724498353
tt0267913,Scooby-Doo,PG,90733,5.0,2002,86,84000000,275650703,3,0.40068948372151897
tt0113277,Heat,R,536830,8.2,1995,170,60000000,187436818,2,0.2284209280879121
tt0351977,Walking Tall,PG-13,67232,6.3,2004,86,46000000,57223890,NotAvailable,0.2662626475012907
tt5884234,First Kill,R,8695,5.0,2017,97,10000000,347295,NotAvailable,0.34230275082125605
tt0449010,Eragon,PG,118402,5.1,2006,104,100000000,249488115,1,0.24005602225626746
tt4160708,Don't Breathe,R,196437,7.1,2016,88,9900000,157100845,3,0.4584676696632997
tt1020072,Selma,PG-13,79305,7.5,2014,128,20000000,66787908,3,0.3777762532427367
tt1712170,Alex Cross,PG-13,31273,5.1,2012,101,35000000,34588412,NotAvailable,0.315221555772114
tt0166110,Bones,R,6311,4.1,2001,96,16000000,8378853,NotAvailable,0.3308944791106585
tt0088850,Brewster's Millions,PG,33522,6.5,1985,102,20000000,45833132,NotAvailable,0.22568713651705566
tt2109184,Paranormal Activity 4,R,59569,4.6,2012,88,5000000,142802657,3,0.4944124013961814
tt0183649,Phone Booth,R,240641,7.0,2002,81,13000000,97837138,1,0.2110986283094929
tt0848228,The Avengers,PG-13,1208337,8.0,2012,143,220000000,1518812988,1,0.3053936064258555
tt0313443,Out of Time,PG-13,53911,6.5,2003,105,50000000,55495563,NotAvailable,0.3001682111870695
tt0120338,Titanic,PG-13,982393,7.8,1997,194,200000000,2187463944,3,0.2932428106262536
tt0106664,The Dark Half,R,14880,6.0,1993,122,15000000,10611160,NotAvailable,0.2605888345039311
tt0375679,Crash,R,405244,7.8,2004,112,6500000,98410061,3,0.2924760022776573
tt2402927,Carol,R,104408,7.2,2015,118,11800000,40272135,3,0.5959405089470842
tt6113488,The Case for Christ,PG,6821,6.2,2017,112,5000000,17644496,NotAvailable,0.4392249985172414
tt2404425,Woman in Gold,PG-13,49832,7.3,2015,109,11000000,61619773,3,0.4977702997544926
tt0492956,The Game Plan,PG,54980,6.1,2007,110,22000000,147880543,NotAvailable,0.3259212289096827
tt0114660,Things to Do in Denver When You're Dead,R,25010,6.8,1995,115,7000000,529766,NotAvailable,0.23099802477180525
tt0117372,The Preacher's Wife,PG,10384,5.6,1996,123,40000000,48102795,3,0.30948776150193136
tt4799066,Midnight Sun,PG-13,18391,6.6,2018,91,2800000,27365467,NotAvailable,0.5175924495530726
tt0091042,Ferris Bueller's Day Off,PG-13,296702,7.8,1986,103,6000000,70136369,3,0.2984335510900058
tt1477076,Saw 3D,R,85422,5.6,2010,90,20000000,136150434,NotAvailable,0.3447095515157895
tt1931533,Seven Psychopaths,R,227943,7.2,2012,110,15000000,19422261,1,0.2648477138057639
tt1022603,(500) Days of Summer,PG-13,449339,7.7,2009,95,7500000,60722734,1,0.3618938203631473
tt1472584,Max Steel,PG-13,17314,4.6,2016,92,10000000,6272403,NotAvailable,0.4267022029891957
tt0089175,Fright Night,R,55533,7.1,1985,106,9000000,24922237,2,0.2476092184021544
tt3498820,Captain America: Civil War,PG-13,610471,7.8,2016,147,250000000,1153296293,3,0.3842277808374384
tt2473682,Paranormal Activity: The Marked Ones,R,37914,5.0,2014,84,5000000,90894962,2,0.4947761752000001
tt4030600,The Bye Bye Man,PG-13,18937,4.3,2017,96,7400000,26667197,3,0.4729373255240607
tt0096734,The 'Burbs,PG,63624,6.9,1989,102,18000000,49101993,1,0.2989279196359071
tt4103724,Forever My Girl,PG,11883,6.7,2018,108,3500000,16376066,NotAvailable,0.4782872977210461
tt1311699,Dead Man Running,R,3884,6.0,2009,92,5000000,735875,NotAvailable,0.2826661861438679
tt0268978,A Beautiful Mind,PG-13,791154,8.2,2001,135,58000000,316791257,1,0.2440456323783241
tt0435705,Next,PG-13,142330,6.2,2007,96,70000000,77421190,2,0.3206836643380856
tt1152398,Beastly,PG-13,73482,5.6,2011,86,17000000,43165571,1,0.41396157913914455
tt0093605,Near Dark,R,30936,7.0,1987,94,5000000,3369307,NotAvailable,0.22329085450704225
tt0096316,Tucker: The Man and His Dream,PG,14408,6.9,1988,110,23000000,19652638,NotAvailable,0.2564327419198813
tt4630562,The Fate of the Furious,PG-13,188649,6.7,2017,136,250000000,1236005118,3,0.4173932783666667
tt0338459,Spy Kids 3: Game Over,PG,51076,4.2,2003,84,38000000,197101678,3,0.3710355121871786
tt2609758,A Madea Christmas,PG-13,5569,4.8,2013,100,25000000,53396354,NotAvailable,0.4417295556615044
tt0120647,Deep Impact,PG-13,153932,6.2,1998,120,75000000,349464664,3,0.28855377627231465
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,48700,6.0,1991,88,25000000,78656813,3,0.23455715987886944
tt3110958,Now You See Me 2,PG-13,225006,6.5,2016,129,90000000,334897606,1,0.3718452425713032
tt0295297,Harry Potter and the Chamber of Secrets,PG,507362,7.4,2002,161,100000000,879465594,3,0.3037575565463799
tt0430357,Miami Vice,R,105170,6.0,2006,132,135000000,163794509,1,0.23830845832645575
tt1980929,Begin Again,R,132871,7.4,2013,104,8000000,63464861,3,0.35542323750727445
tt5164432,"Love, Simon",PG-13,86832,7.6,2018,110,17000000,66316289,1,0.4815297808268798
tt1033575,The Descendants,R,225733,7.3,2011,115,20000000,177243185,3,0.35545054732794834
tt0140397,Mumford,R,8619,6.8,1999,112,28000000,4555459,NotAvailable,0.30918765157961786
tt4501454,The Meddler,PG-13,11055,6.3,2015,103,3200000,5425148,3,0.6304160949940876
tt1535612,The Son of No One,R,15945,5.1,2011,90,15000000,1091132,NotAvailable,0.28479523320845923
tt0100114,Marked for Death,R,18471,6.0,1990,93,12000000,57968936,NotAvailable,0.2102748567256637
tt4325644,Union,PG-13,83,3.8,2018,135,500000,41656,NotAvailable,0.4953796198083333
tt1334512,Arthur,PG-13,49510,5.7,2011,110,40000000,45735397,2,0.3639238018853103
tt0119256,Sydney,R,37336,7.2,1996,101,3000000,222559,0,0.2117537942877292
tt0414982,Final Destination 3,R,123622,5.8,2006,93,25000000,117719158,3,0.42785755371415146
tt0491152,Something Borrowed,PG-13,55252,5.9,2011,112,35000000,60183821,NotAvailable,0.4411887127765785
tt1915581,Magic Mike,R,125768,6.1,2012,110,7000000,167221571,3,0.32076620851812365
tt0100666,Spaced Invaders,PG,3131,5.3,1990,100,3000000,15369573,NotAvailable,0.3464470584798685
tt0116365,The Frighteners,R,78268,7.1,1996,110,30000000,29359216,3,0.3065299169117647
tt0092644,Beverly Hills Cop II,R,100612,6.5,1987,100,28000000,299965036,1,0.20225268762817653
tt0095082,Eight Men Out,PG,17589,7.2,1988,119,6000000,5680515,NotAvailable,0.18646650514273536
tt0143145,The World Is Not Enough,PG-13,178961,6.4,1999,128,135000000,361832400,2,0.2917292324932459
tt0490076,All the Boys Love Mandy Lane,R,30103,5.5,2006,90,750000,1893697,NotAvailable,0.3555559313293052
tt0107206,In the Line of Fire,R,86967,7.2,1993,128,40000000,176997168,1,0.257395130054486
tt0120654,Dirty Work,PG-13,22673,6.4,1998,82,13000000,10023282,NotAvailable,0.2041069698643468
tt1674771,Entourage,R,72742,6.6,2015,104,30000000,49263404,2,0.3989371622973508
tt1727388,The Way Way Back,PG-13,134474,7.4,2013,103,5000000,23198652,3,0.35675119216132123
tt8266310,Blinded by the Light,PG-13,9390,6.9,2019,118,15000000,18019198,NotAvailable,0.4077413296003075
tt0118956,Deep Rising,R,31530,6.1,1998,106,45000000,11203026,NotAvailable,0.24799890656013945
tt2316204,Alien: Covenant,R,234928,6.4,2017,122,97000000,240891763,3,0.3696653737142857
tt0118883,Conspiracy Theory,R,89151,6.7,1997,135,75000000,136982834,2,0.2915123125
tt1454468,Gravity,PG-13,726763,7.7,2013,91,100000000,723192705,0,0.4983627782183908
tt0115571,The Arrival,PG-13,30189,6.3,1996,115,25000000,14063331,NotAvailable,0.21092751716923075
tt0146336,Urban Legend,R,56545,5.6,1998,99,14000000,72527595,3,0.3870046617285714
tt0486576,4: Rise of the Silver Surfer,PG,242494,5.6,2007,92,130000000,289047763,3,0.34022029247772595
tt0951216,Mad Money,PG-13,19561,5.8,2008,104,22000000,26412163,3,0.4548767136743864
tt0815236,She's Out of My League,R,119292,6.4,2010,104,20000000,49779728,NotAvailable,0.3795578654230681
tt0439630,Tau man ji D,TV-PG,7060,6.4,2005,107,12000000,10793051,NotAvailable,0.28491350584633857
tt0116253,Executive Decision,R,47678,6.4,1996,133,55000000,121969216,NotAvailable,0.22373392174242426
tt0105121,The People Under the Stairs,R,29186,6.4,1991,102,6000000,31347154,3,0.31504843791635545
tt0161083,What's the Worst That Could Happen?,PG-13,14341,5.5,2001,94,60000000,38464131,NotAvailable,0.2791249912884044
tt0120601,Being John Malkovich,R,293445,7.7,1999,113,13000000,23106667,3,0.3246111970375521
tt0120815,Saving Private Ryan,R,1145915,8.6,1998,169,70000000,482349603,0,0.20467628708403973
tt0119807,Nothing to Lose,R,41971,6.7,1997,98,25000000,44480039,NotAvailable,0.2164399940451293
tt0118689,Bean,PG-13,91603,6.5,1997,89,18000000,251212670,NotAvailable,0.257700748636658
tt0416236,The Spiderwick Chronicles,PG,83369,6.5,2008,96,90000000,162839667,0,0.4465743754527687
tt2388715,Oculus,R,109799,6.5,2013,104,5000000,44043910,3,0.4079001017431193
tt6139732,Aladdin,PG,159415,7.1,2019,128,183000000,1050693953,3,0.4506151573011648
tt0348593,The Door in the Floor,R,14837,6.6,2004,111,7500000,6715067,1,0.3465500616701903
tt0417217,Two for the Money,R,41617,6.3,2005,122,35000000,30526509,NotAvailable,0.2365609882582583
tt1124035,The Ides of March,R,209252,7.1,2011,101,12500000,75993061,1,0.30888086034746576
tt0100150,Miller's Crossing,R,120128,7.8,1990,115,14000000,5080409,0,0.1804263681683339
tt0120915,Star Wars: Episode I - The Phantom Menace,PG,670887,6.5,1999,136,115000000,1027082707,3,0.3113743105814978
tt0974613,The Other Man,R,10747,5.4,2008,88,15000000,1148511,NotAvailable,0.3394444443076923
tt0458525,X-Men Origins: Wolverine,PG-13,446476,6.6,2009,107,150000000,373062864,3,0.2721404175317504
tt0489270,Saw III,R,169554,6.2,2006,108,10000000,164874275,3,0.35868903523297496
tt1074638,Skyfall,PG-13,601001,7.7,2012,143,200000000,1108561013,3,0.3145116621814882
tt1182921,Ninja,R,11609,5.5,2009,86,10000000,194243,NotAvailable,0.3012949081698938
tt1596350,This Means War,PG-13,169769,6.3,2012,103,65000000,156491279,2,0.3593019046824843
tt3480796,Vice,R,14729,4.2,2015,96,10000000,1568954,3,0.4093173163392272
tt0118755,The Borrowers,PG,18988,5.8,1997,89,29000000,22619589,NotAvailable,0.287036586755287
tt0360486,Constantine,R,286381,7.0,2005,121,100000000,230884728,1,0.3134412528950543
tt0120828,Six Days Seven Nights,PG-13,69505,5.8,1998,98,70000000,164839294,1,0.311478575127451
tt0104431,Home Alone 2: Lost in New York,PG,271704,6.7,1992,120,18000000,365070556,3,0.3288794658976021
tt0141926,U-571,PG-13,73581,6.6,2000,116,62000000,127666415,NotAvailable,0.20042740594158345
tt0185431,Little Nicky,PG-13,93425,5.3,2000,90,85000000,58292295,1,0.3522720508028335
tt0397535,Memoirs of a Geisha,PG-13,133201,7.4,2005,145,85000000,162242962,3,0.4081967838498024
tt3715320,Irrational Man,R,52798,6.6,2015,95,11000000,27391084,2,0.5320139159345795
tt0114681,To Die For,R,41108,6.8,1995,106,20000000,21284514,NotAvailable,0.3626055799967825
tt2059171,13 Sins,R,30326,6.3,2014,93,4000000,826913,NotAvailable,0.4088665873684211
tt5580536,Arsenal,R,3684,4.0,2017,97,10000000,41037,NotAvailable,0.3389024037934459
tt0102943,Slacker,R,18491,7.1,1990,97,23000,1228108,3,0.25195626328271026
tt0388139,It's All Gone Pete Tong,R,18636,7.3,2004,90,2000000,1635056,NotAvailable,0.28868979066703115
tt0211933,Awake,R,70368,6.5,2007,84,8600000,32685679,3,0.35211692197943445
tt0189192,Just Visiting,PG-13,17586,5.8,2001,88,35000000,16176732,NotAvailable,0.3528323427938012
tt1389096,Stand Up Guys,R,51161,6.5,2012,95,15000000,5072654,NotAvailable,0.2759235840971168
tt2097307,Hit and Run,R,32926,6.1,2012,100,2000000,14453354,3,0.40440993174288176
tt5179598,Billionaire Boys Club,R,8676,5.6,2018,108,15000000,2713955,NotAvailable,0.3951155571837709
tt0108525,Wayne's World 2,PG-13,73328,6.2,1993,95,40000000,48197805,NotAvailable,0.2669570577220667
tt1095174,New in Town,PG,20590,5.6,2009,97,8000000,29010817,NotAvailable,0.431034174057971
tt1296898,Waiting for Forever,PG-13,19330,6.0,2010,95,5000000,25517,NotAvailable,0.3928667953372932
tt1172991,The Company Men,R,41703,6.7,2010,104,15000000,4882577,NotAvailable,0.3198066068747978
tt2649554,Midnight Special,PG-13,69569,6.6,2016,112,18000000,6212282,1,0.3752036751074719
tt0348836,Gothika,R,102187,5.8,2003,98,40000000,141591324,3,0.26803461268006695
tt1924396,La migliore offerta,R,98871,7.8,2013,131,17829973,20596350,1,0.31642716987570285
tt5687334,Le Redoutable,R,3812,6.6,2017,107,11705777,1329016,1,0.4215784142536601
tt0407887,The Departed,R,1106005,8.5,2006,151,90000000,291465034,1,0.20561005071492405
tt0105435,Sneakers,PG-13,49813,7.1,1992,126,35000000,105232691,1,0.21098887670045613
tt1045658,Silver Linings Playbook,R,630962,7.7,2012,122,21000000,236412453,3,0.3357211892931703
tt0808399,"New York, I Love You",R,43546,6.3,2008,103,14700000,14603177,NotAvailable,0.3612901337026117
tt0413099,Evan Almighty,PG,132948,5.4,2007,96,175000000,173418781,NotAvailable,0.2847092738936485
tt0763831,A Thousand Words,PG-13,37221,5.9,2012,91,40000000,24397992,2,0.3168749618719212
tt0099253,Child's Play 2,R,41981,5.8,1990,84,13000000,35763605,3,0.3677366698828887
tt2406566,Atomic Blonde,R,158949,6.7,2017,115,30000000,100014025,3,0.3660913924517906
tt2231461,Rampage,PG-13,124101,6.1,2018,107,120000000,428028233,3,0.43538305811269146
tt8385474,A Dog's Journey,PG,10611,7.4,2019,109,16000000,71746590,NotAvailable,0.6316053096012406
tt1204975,Last Vegas,PG-13,123185,6.6,2013,105,28000000,134409025,1,0.31531312620459595
tt0790724,Jack Reacher,PG-13,290657,7.0,2012,130,60000000,218340595,1,0.3339760139771428
tt0093894,The Running Man,R,133810,6.7,1987,101,27000000,38122105,3,0.2561062041489361
tt0328107,Man on Fire,R,313257,7.7,2004,146,70000000,130293714,NotAvailable,0.295750865474661
